main_word,forbidden1,forbidden2,forbidden3,forbidden4,forbidden5
PROSPETTIVA,Punto,Vista,Disegno,Profondità,Arte
NOSTALGIA,Passato,Ricordo,Emozione,Malinconia,Memoria
PLACEBO,Medicina,Effetto,Farmaco,Psicologico,Mente
METONIMIA,Figura,Retorica,Linguaggio,Sostituire,Parole
EQUINOZIO,Giorno,Notte,Stagione,Sole,Astronomia
RESILIENZA,Resistere,Forza,Superare,Difficoltà,Psicologia
PARADIGMA,Modello,Esempio,Schema,Riferimento,Standard
EMPATIA,Sentire,Comprendere,Emozioni,Altri,Psicologia
SINESTESIA,Sensi,Percezione,Mischiare,Colori,Suoni
ENTROPIA,Disordine,Fisica,Energia,Sistema,Caos
METAFORA,Paragone,Figura,Retorica,Similitudine,Linguaggio
OSSIMORO,Contrario,Parole,Opposto,Figura,Retorica
SIMBIOSI,Relazione,Organismi,Natura,Insieme,Biologia
IPERBOLE,Esagerazione,Figura,Retorica,Eccesso,Linguaggio
OLOGRAMMA,Immagine,Tridimensionale,Laser,Luce,Proiezione
QUINTESSENZA,Essenza,Perfetto,Elemento,Puro,Filosofia
METAMORFOSI,Cambiamento,Trasformazione,Forma,Evoluzione,Farfalla
IDIOSINCRASIA,Particolare,Caratteristica,Personale,Avversione,Comportamento
NARCISISMO,Ego,Personalità,Specchio,Mitologia,Psicologia
SINCRETISMO,Religione,Unione,Cultura,Fusione,Filosofia
EPIFANIA,Rivelazione,Scoperta,Momento,Capire,Intuizione
DICOTOMIA,Divisione,Opposti,Dualità,Separazione,Contrasto
TAUTOLOGIA,Ripetizione,Logica,Ridondante,Frase,Linguaggio
SERENDIPITÀ,Caso,Scoperta,Fortuito,Inaspettato,Fortunato
SILLOGISMO,Logica,Deduzione,Premessa,Filosofia,Conclusione
APOCRIFO,Falso,Documento,Autentico,Storia,Religione
ASSIOMA,Verità,Base,Evidente,Matematica,Postulato
XENOFOBIA,Paura,Straniero,Diverso,Odio,Pregiudizio
ARCHEOLOGIA,Scavo,Antico,Storia,Reperti,Passato
ANTROPOLOGIA,Umano,Studio,Cultura,Società,Evoluzione
OBSOLESCENZA,Vecchio,Superato,Tecnologia,Inutile,Tempo
FILOLOGIA,Studio,Testi,Lingua,Storia,Letteratura
ONTOLOGIA,Essere,Filosofia,Esistenza,Realtà,Metafisica
EPISTEMOLOGIA,Conoscenza,Filosofia,Teoria,Sapere,Studio
ERMENEUTICA,Interpretazione,Testo,Significato,Comprensione,Analisi
DIALETTICA,Discussione,Filosofia,Ragionamento,Confronto,Logica
DEMAGOGIA,Politica,Popolo,Manipolare,Persuasione,Retorica
OLIGARCHIA,Potere,Governo,Pochi,Politica,Elite
GNOSEOLOGIA,Conoscenza,Teoria,Filosofia,Sapere,Mente
PRAGMATICA,Pratica,Linguaggio,Contesto,Uso,Significato
SOLIPSISMO,Filosofia,Io,Realtà,Mente,Esistenza
FENOMENOLOGIA,Filosofia,Esperienza,Coscienza,Percezione,Studio
ANACRONISMO,Tempo,Errore,Storia,Epoca,Fuori
ESCATOLOGIA,Fine,Religione,Morte,Destino,Teologia
ETEROGENEO,Diverso,Differente,Vario,Composizione,Misto
